know_fact_id,editorial_key,module,content,team_id,club_venue_id,venue_id,fixture_id,evidence
84,IT-1687-SUPPORTERS-01,SUPPORTERS,Catanzaro’s support travels unusually well for the size of the city. The club reported its fans as the leading away support in its division in 2024/25 and describes the club as something shared across generations of the community.,1687,,,,Il messaggio del Presidente Noto alla tifoseria giallorossa | https://www.uscatanzaro1929.com/2025/05/28/il-messaggio-del-presidente-noto-alla-tifoseria-giallorossa/
91,IT-17147-CLUB-01,CLUB,"Modern Trento was rebuilt locally after another collapse in 2014. A group of 33 Trentino shareholders created a cooperative, bought the club out of bankruptcy and started the current chapter of AC Trento.",17147,,,,Storia | AC Trento | https://www.actrento.com/storia-2/
75,IT-492-CLUB-01,CLUB,"Napoli’s identity is deliberately tied to the city around it. For the club’s centenary, the imagery runs from Vesuvius and Posillipo through the historic centre, while the crest revives the Corsiero del Sole — the club’s original 1926 symbol.",492,,,,Pe’ cient’anne | SSC Napoli | https://sscnapoli.it/centenario/
74,IT-492-SUPPORTERS-01,SUPPORTERS,"Napoli’s centenary campaign tells its supporter story through generations rather than trophies. Its central figure, born in 1926, passed his support for Napoli to his children, grandchildren and great-grandchildren — a deliberate reflection of how the club sees its relationship with the city.",492,,,,PE’ CIENT’ANNE: parte la Campagna Abbonamenti 2026/2027 | https://sscnapoli.it/pe-cientanne-parte-la-campagna-abbonamenti-2026-2027/
76,IT-494-CLUB-01,CLUB,"Udinese presents itself as a football expression of Friuli rather than simply a club based in Udine. In its 130th year, the club made that relationship with the region the central theme of its identity and season-ticket campaign.",494,,,,Udinese official history/campaign | https://www.udinese.it/news/tifosi/al-via-ci-siamo-sempre-stati-la-campagna-abbonamenti-202627-delludinese
77,IT-494-SUPPORTERS-01,SUPPORTERS,Organised Udinese supporter clubs date to 1966 and grew out of away-travel initiatives from the 1950s. The original association quickly expanded into dozens of local sections across Friuli.,494,,,,Udinese official history/campaign | https://udineseclub.com/wp/
72,IT-497-MATCHDAY-01,MATCHDAY,The Curva Sud tradition is built around sustained vocal support. Roma’s own history of CUCS recalls drums beginning before kick-off and supporters singing continuously for the full 90 minutes — a style of support that became part of the identity of the Sud.,,446,,,"On This Day: The formation of CUCS, and a new Curva tradition | https://www.asroma.com/en/news/60193/on-this-day-the-formation-of-cucs-and-a-new-curva-tradition"
71,IT-497-SUPPORTERS-01,SUPPORTERS,Roma’s Curva Sud changed significantly with the formation of Commando Ultrà Curva Sud in 1977. The group brought together supporters behind one banner and helped establish a culture of coordinated support that has been passed through generations of the Sud.,497,,,,"On This Day: The formation of CUCS, and a new Curva tradition | https://www.asroma.com/en/news/60193/on-this-day-the-formation-of-cucs-and-a-new-curva-tradition"
81,IT-509-CLUB-01,CLUB,"The present Cesena FC was created in 2018 after AC Cesena collapsed. Local entrepreneurs rebuilt the club in continuity with the old side, starting again in Serie D and immediately returning to the professional game.",509,,,,Cesena FC official history/campaign | https://www.cesenafc.com/it/society/history
83,IT-509-MATCHDAY-01,MATCHDAY,Curva Mare remains the focal point of Cesena’s home support. The club’s recent campaigns still treat years spent in the Curva as one of the defining ways supporters experience the Manuzzi.,,457,,,Cesena FC official history/campaign | https://www.cesenafc.com/it/teams/prima-squadra/news/il-cesena-e-negli-occhi-di-chi-lo-guarda-la-campagna-abbonamenti-2026-27
82,IT-509-SUPPORTERS-01,SUPPORTERS,Cesena describes its support in explicitly generational terms: people with decades in the Curva Mare share the same ground with families and first-time supporters building their own memories there.,509,,,,Cesena FC official history/campaign | https://www.cesenafc.com/it/teams/prima-squadra/news/il-cesena-e-negli-occhi-di-chi-lo-guarda-la-campagna-abbonamenti-2026-27
95,IT-515-CLUB-01,CLUB,Spezia carries an unusual piece of wartime football history. A team representing the city’s fire brigade won the 1944 wartime championship after beating Grande Torino; the achievement was later formally recognised by the FIGC and is still commemorated at the Picco.,515,,,,La storia | Spezia Calcio | https://www.speziacalcio.com/storia-spezia-calcio.12078.html
78,IT-517-CLUB-01,CLUB,"Venezia really is football on the water. The club plays on Sant’Elena in the Venetian lagoon, and its orange, black and green identity dates from the 1987 merger with mainland club AC Mestre.",517,,,,Club | Venezia FC | https://en.veneziafc.it/club/history
79,IT-517-GOODTOKNOW-01,GOOD_TO_KNOW,Getting to the Penzo is part of the experience: the stadium is on Sant’Elena and can be reached either on foot along the waterfront or by vaporetto.,,,23111,,STADIO PIER LUIGI PENZO | https://en.veneziafc.it/tickets/stadio-pier-luigi-penzo
85,IT-522-SUPPORTERS-01,SUPPORTERS,"Palermo’s own COPA90 collaboration puts supporters at the centre of the club’s identity: long-standing Curva Nord fans, families and ordinary Palermitans tell a story of football as a language passed between generations in the city.",522,,,,COPA90 and Palermo FC present: This Is Palermo | https://www.palermofc.com/en/news/copa90-and-palermo-fc-present-this-is-palermo
93,IT-527-CLUB-01,CLUB,Entella sees itself as more than Chiavari’s team. The club’s own history describes it as an identity shared by the city and the communities of the surrounding hinterland that grew around the Entella river.,527,,,,Storia | Virtus Entella | https://www.entella.it/storia/
80,IT-528-CLUB-01,CLUB,Avellino’s green and white have an unusually local origin. The colours were first worn in 1947 and the club traces them to a rivalry between Benevento’s yellow Strega liqueur and the green Anthemis produced by the Benedictine monks of Montevergine.,528,,,,Storia del Club | https://www.usavellino1912.com/club/storia-del-club/
89,IT-6378-CLUB-01,CLUB,"Arzignano Valchiampo was created in 2011 specifically to represent the wider valley, combining Arzignano and Chiampo football structures into one first team and youth project. Even the yellow-and-blue colours combine the identities of the two sides.",6378,,,,Storia | FC Arzignano Valchiampo | https://www.arzignanovalchiampo.it/storia/
86,IT-863-CLUB-01,CLUB,Juve Stabia’s yellow and blue come directly from the colours of Castellammare di Stabia. The club traces its football history in the city back to Stabia Sporting Club in 1907.,863,,,,Storia | SS Juve Stabia | https://www.ssjuvestabia.it/storia/
87,IT-863-MATCHDAY-01,MATCHDAY,The old Stabia home became known as “la caienna” — the Cayenne — because of the intensity supporters created around the team. The nickname remains part of the club’s own telling of its home-support tradition.,,461,,,Storia | SS Juve Stabia | https://www.ssjuvestabia.it/storia/
90,IT-865-CLUB-01,CLUB,"Giana Erminio is one of the few professional clubs whose name is literally a person’s name. The club adopted the name of Erminio Giana, a 19-year-old soldier from Gorgonzola who died during the First World War, and has deliberately preserved that local memory ever since.",865,,,,Storia | AS Giana Erminio | https://www.asgiana.com/societa/storia/
94,IT-868-CLUB-01,CLUB,Livorno’s amaranto colour is not simply a football choice: the club adopted the deep red colour as a symbol of the city itself when US Livorno was created in 1915.,868,,,,Storia | US Livorno | https://www.uslivorno.com/storia/
88,IT-879-CLUB-01,CLUB,"AlbinoLeffe has unusually civic roots. One of its predecessor clubs, Albinese, was itself created through a merger approved in a municipal referendum in Albino, with 85% of residents voting in favour. AlbinoLeffe later emerged from Albinese and Leffe in 1998.",879,,,,Storia | UC AlbinoLeffe | https://www.albinoleffe.com/club/la-storia.html
92,IT-880-SUPPORTERS-01,SUPPORTERS,"Reggiana’s supporter culture includes a strong volunteer tradition. The annual Mirco Valli award remembers a fan who also worked voluntarily for the club, and in 2025 it honoured organised groups Gruppo Vandelli and Teste Quadre for 50 years of support.",880,,,,"Il premio ""Mirco Valli"" ai gruppi organizzati reggiani per i 50 anni di tifo | https://reggianacalcio.it/2025/01/30/il-premio-mirco-valli-ai-gruppi-organizzati-reggiani-per-i-50-anni-di-tifo/"
73,IT-895-CLUB-01,CLUB,"Como’s recent rise followed another complete reset. After bankruptcy and exclusion from the league, the club restarted in Serie D in 2017/18 before climbing back through the divisions and returning to Serie A.",895,,,,History | Como 1907 | https://comofootball.com/en/history/
96,IT-9534-CLUB-01,CLUB,Torres’ history reaches beyond Sassari unusually early: in 1908 the club played an exhibition in Ajaccio which it describes as the first football match on foreign soil by a Sardinian team.,9534,,,,Storia | Torres Calcio | https://seftorrescalcio.it/storia/
4,know-v1-proof:atalanta:club,CLUB,"Atalanta’s identity is unusually bound to Bergamo rather than simply being a team located there. The club presents Atalanta as an expression of Bergamasque identity and of the relationship between team, city and surrounding province.",499,,,,Neonati Atalantini | https://en.atalanta.it/neonati-atalantini
5,know-v1-proof:atalanta:supporters,SUPPORTERS,"Since 2010, Atalanta’s Neonati Atalantini programme has given an Atalanta shirt to babies born in hospitals across Bergamo and its province — a remarkably literal expression of the idea that the relationship with Atalanta begins almost from birth.",499,,,,"Neonati Atalantini | https://en.atalanta.it/neonati-atalantini || Neonati Atalantini, a family tradition since 2010 | https://en.atalanta.it/videos/neonati-atalantini-a-family-tradition-since-2010"
9,know-v1-proof:athletic-club:club,CLUB,Athletic Club follows one of football’s most distinctive sporting philosophies: it fields players born in the Basque Country or developed through clubs in the Basque football system. Athletic presents that philosophy as central to the club’s identity rather than merely as a recruitment policy.,531,,,,Our philosophy | https://www.athletic-club.eus/en/philosophy/what-is-it/
11,know-v1-proof:athletic-club:dont-miss,DONT_MISS,"If the visiting club is making its first official appearance at San Mamés, its captain traditionally lays flowers at the bust of Athletic legend Pichichi.",,,23262,,Rafael Moreno Aranzadi: the Athletic player who became Pichichi | https://www.athletic-club.eus/en/news/2021/03/17/rafael-moreno-aranzadi-the-athletic-player-who-became-pichichi/ || Built from Tradition: 2025/26 home kit | https://www.athletic-club.eus/en/news/2025/05/16/built-from-tradition-2025-26-home-kit/
10,know-v1-proof:athletic-club:matchday,MATCHDAY,"San Mamés is known as La Catedral, a nickname closely tied to the stadium’s place in Athletic culture. Before kickoff, the Athletic anthem is accompanied by supporters standing with scarves raised and the distinctive elongated cry of “Athletic.”",,389,,,40-year anniversary of the Athletic Club anthem | https://www.athletic-club.eus/en/news/2023/03/30/40-year-anniversary-of-the-athletic-club-anthem/
13,know-v1-proof:benfica:dont-miss,DONT_MISS,"Look up before kickoff. Benfica’s live eagle, Vitória, traditionally flies around the Estádio da Luz before landing on the club crest ahead of the match.",,,23511,,"Benfica SC Braga Futebol Liga Bwin Imagens | https://www.slbenfica.pt/pt-pt/agora/media-list/gallery/2023/05/06/futebol-benfica-sc-braga-31-jornada-liga-bwin-imagens || Benfica Rio Ave Futebol Liga Betclic Imagens | https://www.slbenfica.pt/pt-pt/agora/media-list/gallery/2024/01/14/futebol-jogo-benfica-rio-ave-17-jornada-liga-betclic-imagens || Águia Vitória já regressou a casa! | https://www.slbenfica.pt/pt-pt/agora/noticias/2018-2019/04/12/clube-futebol-benfica-aguia-vitoria-ja-regressou-a-casa || Direto SL Benfica - Estoril Praia, 31 agosto 2026 | https://www.slbenfica.pt/pt-pt/futebol/match-center/benfica-estoril-praia-31-agosto-2026"
12,know-v1-proof:benfica:matchday,MATCHDAY,"Before kickoff at Estádio da Luz, supporters sing Ser Benfiquista with scarves raised. Benfica also maintains one of football’s most distinctive pre-match traditions: the live eagle’s flight inside the stadium. After the match, the team’s longstanding bow to supporters continues a tradition dating to 1970.",,793,,,"Benfica SC Braga Futebol Liga Bwin Imagens | https://www.slbenfica.pt/pt-pt/agora/media-list/gallery/2023/05/06/futebol-benfica-sc-braga-31-jornada-liga-bwin-imagens || Benfica Rio Ave Futebol Liga Betclic Imagens | https://www.slbenfica.pt/pt-pt/agora/media-list/gallery/2024/01/14/futebol-jogo-benfica-rio-ave-17-jornada-liga-betclic-imagens || A origem da Vénia | https://www.slbenfica.pt/pt-pt/agora/media-list/videos/2021/10/26/futebol-benfica-a-origem-da-venia-aos-adeptos || Direto SL Benfica - Estoril Praia, 31 agosto 2026 | https://www.slbenfica.pt/pt-pt/futebol/match-center/benfica-estoril-praia-31-agosto-2026"
21,know-v1-proof:bury:club,CLUB,"Bury were expelled from the EFL in 2019 after financial collapse. Supporters subsequently rebuilt a route back to football, regained Gigg Lane and the club’s name, history and intellectual property, and a supporter-backed merger returned Bury FC to competitive football at Gigg Lane in 2023.",1344,,,,Pre-Season: Bradford City / Preston North End (H) | https://buryfc.co.uk/pre-season-double-header/ || Welcome to our new Bury FC Website! | https://buryfc.co.uk/welcome-to-our-new-bury-fc-website/ || Hope + Glory to be kit supplier for the New Season | https://buryfc.co.uk/hope-glory-to-be-kit-supplier-for-the-new-season/ || Society Update | https://fssb.co.uk/society-update-3/
22,know-v1-proof:bury:supporters,SUPPORTERS,"Supporter ownership is central to modern Bury. Supporters bought back Gigg Lane and control the club through the Football Supporters’ Society of Bury, with members able to vote on fundamental matters including ownership, the ground, club name and crest.",1344,,,,About us | https://fssb.co.uk/about/ || Society Update | https://fssb.co.uk/society-update-3/
14,know-v1-proof:koln:club,CLUB,1. FC Köln’s identity crosses directly into the city’s carnival culture. The club participates in Köln’s carnival traditions and incorporates Kölsch music and local culture into its football identity.,192,,,,Was macht uns zum 1. FC Köln? | https://fc.de/club/ueber-den-fc/historie-und-erfolge/was-macht-uns-zum-1-fc-koeln
17,know-v1-proof:koln:dont-miss,DONT_MISS,"Look out for Hennes. Köln has maintained a living goat mascot since 1950, with the current goat continuing one of football’s most distinctive mascot traditions.",,,23057,,Hennes: The Mascot of 1. FC Köln | https://fc.de/en/club/about-the-club/hennes-the-mascot-of-1-fc-koeln
18,know-v1-proof:koln:good-to-know,GOOD_TO_KNOW,"If you are in the lower Südkurve, large flags and double-holders can obstruct the view during parts of the match, particularly around the lower S3/S4 areas.",,,23057,,Verbundbrief – unsere Werte! | https://suedkurve.koeln/verbundbrief/
16,know-v1-proof:koln:matchday,MATCHDAY,"Kölsch music forms part of the buildup around Müngersdorf. The club describes the walk toward the stadium itself as a ritual, with local songs carrying through the stadium and surrounding area before kickoff. When Mer stonn zo Dir, FC Kölle plays, supporters link arms and sway together.",,260,,,Was macht uns zum 1. FC Köln? | https://fc.de/club/ueber-den-fc/historie-und-erfolge/was-macht-uns-zum-1-fc-koeln
15,know-v1-proof:koln:supporters,SUPPORTERS,"The Südkurve is the established centre of organised vocal support, with flags and banners treated as longstanding elements of supporter culture rather than occasional matchday decoration.",192,,,,Verbundbrief – unsere Werte! | https://suedkurve.koeln/verbundbrief/
1,know-v1-proof:real-oviedo:club,CLUB,"Real Oviedo’s modern story is inseparable from its fight to survive. In 2012, after years of financial problems, the club needed almost €2 million to continue; a global share campaign and subsequent investment from Grupo Carso secured its future.",718,,,,A NEW ERA (2012 - …) | https://www.realoviedo.es/en/una-nueva-era-2012
3,know-v1-proof:real-oviedo:matchday,MATCHDAY,"Carlos Tartiere continues to draw support on a scale that stands out against much of Real Oviedo’s recent football history. The club reported an average home attendance of 24,888 in 2025/26, with strong crowds even for Monday and midweek fixtures.",,425,,,"La fuerza del oviedismo, también en las gradas | https://www.realoviedo.es/noticias/la-fuerza-del-oviedismo-tambien-en-las-gradas"
2,know-v1-proof:real-oviedo:supporters,SUPPORTERS,"When Oviedo faced extinction, supporters did not just protest — they bought into the club. The campaign spread across five continents, creating thousands of international shareholders and turning what began as a local rescue effort into part of Real Oviedo’s modern identity.",718,,,,A NEW ERA (2012 - …) | https://www.realoviedo.es/en/una-nueva-era-2012 || Four years of globality | https://www.realoviedo.es/en/news/four-years-of-globality
20,know-v1-proof:saint-etienne:matchday,MATCHDAY,"The Kop Nord and Kop Sud create a distinctive two-ended supporter dynamic at Geoffroy-Guichard, with Magic Fans and Green Angels generating songs, flags and tifos from opposite ends of the stadium.",,303,,,Nos expériences de match | https://billetterie.asse.fr/fr/mon-geoffroy-guichard/nos-experiences-de-match
19,know-v1-proof:saint-etienne:supporters,SUPPORTERS,"Saint-Étienne’s two principal ultra groups occupy opposite ends of Geoffroy-Guichard: Magic Fans 91 in the Kop Nord and Green Angels 92 in the Kop Sud. The important supporter story goes beyond atmosphere. Magic Fans in particular have a documented history of charitable and community activity in Saint-Étienne and the Loire, connecting supporter identity with solidarity beyond the stadium.",1063,,,,Nos expériences de match | https://billetterie.asse.fr/fr/mon-geoffroy-guichard/nos-experiences-de-match || La solidarité verte | https://www.asse.fr/fr/actualites/la-solidarite-verte-ac28332 || C'est l'anniversaire des Magic Fans ! | https://www.asse.fr/fr/Actualites-du-club/Cet039est-let039anniversaire-des-magic-fans---ac17972
6,know-v1-proof:union-berlin:club,CLUB,"Union Berlin’s identity is built around an unusually close relationship between the club, its supporters and the Alte Försterei. Supporters have repeatedly taken direct responsibility for preserving both their club and its home.",182,,,,The Stadion An der Alten Försterei | https://www.fc-union-berlin.de/en/stadion/at-the-alten-foersterei-uw2Y
8,know-v1-proof:union-berlin:matchday,MATCHDAY,"The Alte Försterei remains overwhelmingly a standing ground, giving a Union home match a distinctly terrace-led character compared with most modern top-flight stadiums.",,252,,,1. FC Union Berlin / club information | https://www.fc-union-berlin.de/en/club/1-fc-union-berlin-qp31
7,know-v1-proof:union-berlin:supporters,SUPPORTERS,"When the Alte Försterei needed rebuilding in 2008–09, more than 2,300 volunteers contributed roughly 140,000 working hours to the project. That supporter labour remains a defining part of the stadium and club’s modern story.",182,,,,The Stadion An der Alten Försterei | https://www.fc-union-berlin.de/en/stadion/at-the-alten-foersterei-uw2Y
