editorial_key,club,module,before,after,evidence,reason,evidence_faithful
IT-1687-SUPPORTERS-01,Catanzaro,SUPPORTERS,Catanzaro’s support travels unusually well for the size of the city. The club reported its fans as the leading away support in its division in 2024/25 and describes the club as something shared across generations of the community.,"Catanzaro’s support travels unusually well for the size of the city. In 2024/25, its fans were the leading away support in the division, while support for the club remains shared across generations of the community.",Il messaggio del Presidente Noto alla tifoseria giallorossa | https://www.uscatanzaro1929.com/2025/05/28/il-messaggio-del-presidente-noto-alla-tifoseria-giallorossa/,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-492-CLUB-01,Napoli,CLUB,"Napoli’s identity is deliberately tied to the city around it. For the club’s centenary, the imagery runs from Vesuvius and Posillipo through the historic centre, while the crest revives the Corsiero del Sole — the club’s original 1926 symbol.","Napoli’s identity is deliberately tied to the city around it. Its centenary imagery runs from Vesuvius and Posillipo through the historic centre, while the crest revives the Corsiero del Sole — the club’s original 1926 symbol.",Pe’ cient’anne | SSC Napoli | https://sscnapoli.it/centenario/,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-492-SUPPORTERS-01,Napoli,SUPPORTERS,"Napoli’s centenary campaign tells its supporter story through generations rather than trophies. Its central figure, born in 1926, passed his support for Napoli to his children, grandchildren and great-grandchildren — a deliberate reflection of how the club sees its relationship with the city.","Napoli’s supporter story runs through generations rather than trophies. A central figure born in 1926 passes his support for Napoli to his children, grandchildren and great-grandchildren, reflecting the club’s relationship with the city.",PE’ CIENT’ANNE: parte la Campagna Abbonamenti 2026/2027 | https://sscnapoli.it/pe-cientanne-parte-la-campagna-abbonamenti-2026-2027/,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-494-CLUB-01,Udinese,CLUB,"Udinese presents itself as a football expression of Friuli rather than simply a club based in Udine. In its 130th year, the club made that relationship with the region the central theme of its identity and season-ticket campaign.","Udinese is a football expression of Friuli as well as a club based in Udine. In its 130th year, that relationship with the region became the central theme of the club’s identity and season-ticket campaign.",Udinese official history/campaign | https://www.udinese.it/news/tifosi/al-via-ci-siamo-sempre-stati-la-campagna-abbonamenti-202627-delludinese,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-497-MATCHDAY-01,AS Roma,MATCHDAY,The Curva Sud tradition is built around sustained vocal support. Roma’s own history of CUCS recalls drums beginning before kick-off and supporters singing continuously for the full 90 minutes — a style of support that became part of the identity of the Sud.,The Curva Sud tradition is built around sustained vocal support. Drums begin before kick-off and supporters sing continuously for the full 90 minutes — a style of support that became part of the identity of the Sud.,"On This Day: The formation of CUCS, and a new Curva tradition | https://www.asroma.com/en/news/60193/on-this-day-the-formation-of-cucs-and-a-new-curva-tradition",Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-509-MATCHDAY-01,Cesena,MATCHDAY,Curva Mare remains the focal point of Cesena’s home support. The club’s recent campaigns still treat years spent in the Curva as one of the defining ways supporters experience the Manuzzi.,Curva Mare remains the focal point of Cesena’s home support. Years spent in the Curva are still treated as one of the defining ways supporters experience the Manuzzi.,Cesena FC official history/campaign | https://www.cesenafc.com/it/teams/prima-squadra/news/il-cesena-e-negli-occhi-di-chi-lo-guarda-la-campagna-abbonamenti-2026-27,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-509-SUPPORTERS-01,Cesena,SUPPORTERS,Cesena describes its support in explicitly generational terms: people with decades in the Curva Mare share the same ground with families and first-time supporters building their own memories there.,Cesena’s support spans generations: people with decades in the Curva Mare share the same ground with families and first-time supporters building their own memories there.,Cesena FC official history/campaign | https://www.cesenafc.com/it/teams/prima-squadra/news/il-cesena-e-negli-occhi-di-chi-lo-guarda-la-campagna-abbonamenti-2026-27,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-522-SUPPORTERS-01,Palermo,SUPPORTERS,"Palermo’s own COPA90 collaboration puts supporters at the centre of the club’s identity: long-standing Curva Nord fans, families and ordinary Palermitans tell a story of football as a language passed between generations in the city.","Palermo’s identity is carried by long-standing Curva Nord fans, families and ordinary Palermitans, for whom football is a language passed between generations in the city.",COPA90 and Palermo FC present: This Is Palermo | https://www.palermofc.com/en/news/copa90-and-palermo-fc-present-this-is-palermo,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-527-CLUB-01,Virtus Entella,CLUB,Entella sees itself as more than Chiavari’s team. The club’s own history describes it as an identity shared by the city and the communities of the surrounding hinterland that grew around the Entella river.,Entella is more than Chiavari’s team. Its identity is shared by the city and the communities of the surrounding hinterland that grew around the Entella river.,Storia | Virtus Entella | https://www.entella.it/storia/,Remove source/campaign narration and state the same approved claim directly for supporters.,True
IT-9534-CLUB-01,Torres,CLUB,Torres’ history reaches beyond Sassari unusually early: in 1908 the club played an exhibition in Ajaccio which it describes as the first football match on foreign soil by a Sardinian team.,"Torres’ history reached beyond Sassari unusually early: in 1908 the club played an exhibition in Ajaccio, the first football match on foreign soil by a Sardinian team.",Storia | Torres Calcio | https://seftorrescalcio.it/storia/,Remove source/campaign narration and state the same approved claim directly for supporters.,True
know-v1-proof:real-oviedo:matchday,Oviedo,MATCHDAY,"Carlos Tartiere continues to draw support on a scale that stands out against much of Real Oviedo’s recent football history. The club reported an average home attendance of 24,888 in 2025/26, with strong crowds even for Monday and midweek fixtures.","Carlos Tartiere continues to draw support on a scale that stands out against much of Real Oviedo’s recent football history. Average home attendance reached 24,888 in 2025/26, with strong crowds even for Monday and midweek fixtures.","La fuerza del oviedismo, también en las gradas | https://www.realoviedo.es/noticias/la-fuerza-del-oviedismo-tambien-en-las-gradas",Remove source/campaign narration and state the same approved claim directly for supporters.,True
