country,subject,category,scope,matchgoer_subject_id(s),reconciliation_status,catalogue_status,reconciliation_note,editorial_label,short_explanation,discovery_value,lead_priority,evidence_url,evidence_season,editorial_status,evidence_note
England,Liverpool — Manchester United,SIGNIFICANT_RIVALRY,TEAM_PAIR,33;40,ALREADY_PUBLISHED,ALREADY_ACTIVE,Equivalent published DECIDE fact already exists,North-West rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Arsenal — Tottenham Hotspur,SIGNIFICANT_RIVALRY,TEAM_PAIR,42;47,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),North London Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Manchester United — Manchester City,SIGNIFICANT_RIVALRY,TEAM_PAIR,33;50,READY,ACTIVE,Canonical pair resolved (exact; exact),Manchester Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Chelsea — Arsenal,SIGNIFICANT_RIVALRY,TEAM_PAIR,42;49,READY,ACTIVE,Canonical pair resolved (exact; exact),London rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Chelsea — Tottenham Hotspur,SIGNIFICANT_RIVALRY,TEAM_PAIR,47;49,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),London rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,West Ham United — Millwall,SIGNIFICANT_RIVALRY,TEAM_PAIR,48;58,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),London rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,West Ham United — Tottenham Hotspur,SIGNIFICANT_RIVALRY,TEAM_PAIR,47;48,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),London rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Chelsea — Fulham,SIGNIFICANT_RIVALRY,TEAM_PAIR,36;49,READY,ACTIVE,Canonical pair resolved (exact; exact),West London derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Everton — Liverpool,SIGNIFICANT_RIVALRY,TEAM_PAIR,40;45,READY,ACTIVE,Canonical pair resolved (exact; exact),Merseyside Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Newcastle United — Sunderland,SIGNIFICANT_RIVALRY,TEAM_PAIR,34;746,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Tyne-Wear Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Aston Villa — Birmingham City,SIGNIFICANT_RIVALRY,TEAM_PAIR,54;66,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),Second City Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Wolverhampton Wanderers — West Bromwich Albion,SIGNIFICANT_RIVALRY,TEAM_PAIR,39;60,READY,ACTIVE,Canonical pair resolved (exact; exact),Black Country Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Blackburn Rovers — Burnley,SIGNIFICANT_RIVALRY,TEAM_PAIR,44;67,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),East Lancashire Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
